Link,Title,Location,Salary,Summary
81acb0a951cdde98,파이썬/자바스크립트 경력 정규직,디노플러스 서울 강남구,,그래머>JSP|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>벡엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
38624e6a0d63341f,System SW Developer (IP Telephony System...,Ericsson 서울,,"jobs Coding with Python, C or C++ or Java... experience Programming Language: Python, Java, JavaScript, C, C++ Knowledge..."
34476fc1bc0bb748,오픈소스 엔지니어 영입,카카오페이 성남 백현동,,"대한 전반적인 이해가 있으신 분 -논리적이고 체계적인 문제해결 및 커뮤니케이션 능력을 보유하신 분 - Python, Ruby, Shell 스크립트 사용이 가능하신 분 *우대사항 -ZooKeeper 분산 코디네이터 경험을..."
204308e277d085e3,DevOps Consultant - Professional Service...,Amazon Web Services Korea LLC 서울,,"programming and scripting languages... Shell, Python, Ruby, Perl, Java, .Net, or C++. · Experience with building..."
432b169b273d9964,"R&D Engineer, Sr I",Synopsys 서울,,back-end Strong software programming skills in C++ and python is required Job Category Engineering Hire Type Employee...
674370fd38bce0dd,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원 광주 북구,,블록체인 경제 블록체인 하드포크 1) 4년대 대학 이상 졸업자 2) SW프로그래밍 제작 경험자 3) Python/C/Java/Go 프로그래밍 가능자 우대사항 ① 국가보훈대상자(취업보호대상자) 및 장애인은 관련 법령...
112b18e814dc90dc,코리아서버호스팅 풀스택 경력,코리아서버호스팅 서울 서초구,,"업부설연구소 자격요건 신입, 경력 우대사항 컴퓨터/시스템공학 정보처리기사/정보보안기사 PHP, Python, nodejs 가능자 우대 ELK 사용경험 Openstack 사용경험 Linux 사용경험 지원자격 학력..."
1f7f2b48cf91125b,DBA담당자,해커스 서울 강남구,,"스크립트 (쉘 or Python...) 작성 가능 6. 신규 시스템 RDBMS 설계(요건 분석 및 협의 능력) 7. 원활한 소통능력 8. 경력 4년 이상 우대사항 1.개발 경험 (Java, Python, C++) 2..."
2a1d77bd91952093,(주)엘솔루 개발자,㈜엘솔루 서울,,"필수사항] ㆍ프로그래밍에 재능 및 열정이 있는 자 ㆍJava, Python 중 하나 이상의 언어사용자 ㆍ자료구조 지식이 있는 자 ㆍ학력... 머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
9fcd027f173235aa,퀀트운용본부 경력사원,디비자산운용 대한민국,,"3년 이상 - 주식 및 시장에 대한 퀀트/계량적 접근방식 유경험자 우대 - 프로그래밍 능력(VBA, R, Python 등) 보유 및 모델개발 경험자 우대 - 투자자산운용사 자격 보유자 - 영어 등 외국어 활용능력 우수자 우대..."
5333a6b16ba739a1,JAVA 개발자 대규모 인재 [광고플랫폼 업계1위/청년친화강소기업],인라이플 서울 구로구,,인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>전산·IT기술지원>유지보수|인터넷...
692486e7a2b0522e,인프라 관리/운영 웹 애플리케이션 개발자,Nexon 성남 분당구,,"인프라 프로비저닝 및 배포 자동화 웹 애플리케이션 개발 지원자격 - 전체 개발 경력 3년 이상 - Python , Go 등의 서버 사이드 개발 경력 - RESTful API에 대한 이해 - Javascript..."
ae2c6294bc277408,Lead Technical Solutions Engineer,MightyHive 서울,,Data Analysis in Python... R... 와 같은 모바일 앱 트래킹 도구들을 위한 모바일 이벤트 트래킹 * Python 또는 R 을 활용한 데이터 분석 * Machine Learning...
4e0e3461de8ecc3f,"인프라웨어, 셀바스엠 서버개발/운영 경력직",인프라웨어 서울 서초구,,"로 대용량 서비스 운영 경험자 - shell script, perl, python 등의 script언어 사용 가능자 [우대사항] - AWS 사용경험... Tool 경험자 - Python 등을 활용하여 서비스 인프라를 자동화 해..."
dbe0f6f7da20d201,"Principal, Back-end Engineer (Seller Por...",Coupang 3.0 서울,,Expert with one or more programming language... Java/ Python/Scala * Understanding of architectural principles and design...
0ab285258b1cb206,저축은행 앱마케팅팀 데이터분석,국내자본 저축은행 서울 구로구,,"실무 적용 - BI Tool 기반 KPI 자동화 및 데이터 시각화 [자격요건] - SQL 사용 가능 - Python or R 사용 가능 - 태블로 사용 우대 - 금융사 경력 우대 - 긍정, 열정, 탐구적인 자세 [전형절차..."
e6ed4f83454aa0c3,Java/Jsp/Front-end/WEB 개발자,에코소프트 경기도,,및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>웹프로그래밍> Python|인터넷·IT·통신·모바일·게임>웹프로그래밍>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래밍>벡엔드...
50d0ae3f24a94532,"로봇관련, R&D_로봇 Skill 개발",4차산업 공장 자동화 기기 및 소프트웨어 경기도 수원,,"용한 장치 인터페이스 관련 지식 (우대) - 로봇 모션 및 힘 제어 알고리즘 개발 지식 - 프로그래밍 스킬( Python 필수, C++우대, Java 우대) - 기계/메카트로닉스 공학 계열의 4년제 대졸 학사 이상 - 경력 3..."
9b09565fe78ef392,DX혁신부문 Tech Lab Senior Machine Learning...,이투스교육 서울 강남구,,"분 - 일반적인 백엔드 시스템 설계 및 개발 - ML/AI 시스템 아키텍쳐 설계 경험 - Python, scala, R 등 ML 및 통계 관련 언어 사용 경험 - 머신러닝 프레임워크 경험자 (TensorFlow..."
b06176c3a7092e0a,Customer Facing Data Scientist,Ever Better Recruitment (EBR) 서울,,ensure appropriate communication Experience in R or Python analysis Up to 50% off-site visits English ability to perform...
08ac4426aa2a7bed,퍼포먼스 마케터 (SA 중심),Soomgo 서울 강남구,,"Google Analytics, Amplitude/Mixpanel 등 분석툴 사용하신 분 • SQL, Python 등 데이터 분석 능력 있으신 분 [숨고멤버 Join] • 서류전형 : 이력서(자기소개서) & 포트폴리오..."
10ddf37c7b70f83b,[해외취업] 고급 IT 엔지니어,株式会社ASCOM 대한민국,,"일본어 능력은 상관없음.  python,C++,C,C#,ASP.net,JAVA,VB.net,swift,IOS,Android,kotlin 중 한가지 이상 개발 경력이 3년 이상인 자. [ python] * AI, 사물 인터넷..."
a2089ff8a19a429f,Fullstack SW개발자,신재생에너지 분야 솔루션기업 성남 판교역,,"자격요건] -유관업무 경력 5년 이상 -Programmming Language : C/C++, Java, Python -데이터베이스 기초설계 및 연동 -웹기반 UI 개발 경험 [우대요건] -분산형 시스템 개발 경험 -AI..."
d425b24146af3fa1,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원 광주 북구,,"험수행 ① 국내외 4년제 대학교 환경공학관련분야 학사 이상 학위소지자로서, ② MATLAB, R, 그리고 Python 중 1개 이상의 프로그램 언어를 다룰 줄 알며, ③ 공고일 기준 2년 이내 아래의 공인영어성적 소지자..."
22ea43afd8105577,"WEb 개발자 경력 정규직, 프리랜서",케이포시큐리티 서울,,로그래밍>ASP|인터넷·IT·통신·모바일·게임>웹프로그래밍>PHP |인터넷·IT·통신·모바일·게임>웹프로그래밍>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래밍> Python|인터넷·IT·통신·모바일·게임>웹프로그래밍>벡엔드
4a426e3ffacd161c,이상탐지팀- 웹프로그래머,Nexon 성남 분당구,,"C# / Python 언어 중 한 가지 이상의 언어를 능숙히 사용하시는 분 - 자료구조, 알고리즘, 데이터베이스 등 프로그래밍 기초지식을 지니신 분 * 사용기술 - AWS, Linux - Python, Spark..."
16dff836029458af,"모바일 앱 서버 개발(Java, Python)",휴먼디지털 서울,,"Python) 자격조건 - 정보시스템 설계 및 데이터 마이닝용 시스템 설계. - 모바일 앱 서비스용 서버 API 설계 및 개발. - 주소록 동기화, Confirmed Push 경험 하신 분 우대. - 자바, Python..."
78d1ec77f4a5e0dc,기후 분석&모델링연구실 시간제연구원,광주과학기술원 광주 북구,,"수행 ① 국내외 4년제 대학교 환경공학관련분야 학사 이상 학위소지자로서, ② Fortran, GrADS, python 중 1개 이상의 프로그램 언어 사용 가능자 우대사항 ① 국가보훈대상자(취업보호대상자) 및 장애인은..."
fa839fed02943ef7,"Technical Specialist, Professional Servi...",Google 4.3 서울,,"one or more object-oriented programming language (e.g., Java, Python, etc.). Experience in mobile and web development best..."
794e209e405f4fc0,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원 광주 북구,,구직 명 블록체인 개발 블록체인 경제 블록체인 하드포크 1) SW프로그래밍 제작 경험자 2) Python/C/Java/Go 프로그래밍 가능자 우대사항 ① 국가보훈대상자(취업보호대상자) 및 장애인은 관련 법령...
b59aefbf5af2d7ea,Discovery ML Engineer,딜리버리히어로코리아 서울 서초동,,"Qualifications -자연어 처리, 랭킹 로직 및 추천 알고리즘 개발 경험이 있으신 분 - Python 또는 R 등의 데이터를 다루기 위한 언어를 1 개 이상 능숙하게 사용 가능하신 분 -수학 및 통계 이론을 이해..."
d9470ee259f7457b,Cloud Infrastructure Architect,Amazon Web Services Korea LLC 서울,,"through DevOps scripting (E.g. shell, Python, Ruby, Powershell) · Configuration... 스크립팅 (예 : shell, Python, Ruby, Powershell..."
c663e60e53d11e2b,스포카(도도포인트)프로그래머/PM/기획 채용,스포카 서울 역삼동,,"쓸 수 있는 프로그램을 직접 만들고 운영해 본 경험이 있는 분 - Python 실무에서 2년 이상 사용한 경험이 있는 분 -RDBMS 사용 경험이... 사내 도구는 Rust와 Haskell, Python 사용 Android개발..."
62d8726bc5e89cf8,"딥러닝, 인공지능(AI) 외 경력 정규직",블록체인씨앤에스 서울 성동구,,"경험 - AI(M/L, D/L) 기반 다양한 모델 개발 경험자, Python/Tensorflow 활용 경험자 병역특례자 00 명 근무조... 머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
a7c68eba65a950aa,지스트 블록체인경제센터 계약직연구원,광주과학기술원 광주 북구,,구직 1명 블록체인 개발 블록체인 경제 블록체인 하드포크 1) SW프로그래밍 제작 경험자 2) Python/C/Java/Go 프로그래밍 가능자 우대사항 ① 국가보훈대상자(취업보호대상자) 및 장애인은 관련 법령...
f915f667e4052f91,Back-end Engineer,Terra 서울,,"고민 우대사항 Language: JavaScript, TypeScript, Go, Rust, Python Database: PostgreSQL, Redis, ElasticSearch Cloud Infrastructure..."
2625bdacef9c5d08,"Specialist Solutions Architect III, AI/M...",Amazon Web Services Korea LLC 서울,,"Spark and Hadoop. · Experienced in data processing with Python, R & SQL. · Experience with AWS services related to AI/ML..."
d498993697237b33,AI(인공지능) 개발자,휴먼디지털 서울,,를 활용한 Machine Learning(Deep Learning) 개발 경험자 우대 3. C/C++/C#/ Python 등 프로그래밍 경험자 우대 4. 분산시스템에 대한 이해가 있는 분 우대 근무지 서울 연봉 회사내규에따름...
92f04fc62c6d6a7a,"Technical Solutions Consultant, Android...",Google 4.3 서울,,"general purpose programming language (e.g. Java, C/C++, Python). Experience in managing strategic partnerships or client..."
